Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,good,exDis,total,x좌표,y좌표
2,7,청담역,복합식,18078,4,0,1,0,NA,NA,750508,123462,11921,6501547,7375517,37.519365,127.05335
2,7,강남구청역,상대식,7988,3,1,0,0,NA,NA,458635,100873,7163,4749126,5308634,37.517186,127.04128
2,7,학동역,상대식,6935,3,1,0,0,NA,NA,590882,124876,10704,6903657,7619415,37.514229,127.031656
2,7,논현역,상대식,9389,3,1,1,1,NA,NA,486518,111743,7491,6343632,6941893,37.511093,127.021415
1,7,반포역,상대식,10349,3,1,2,2,NA,NA,327910,47165,2737,1982676,2357751,37.508178,127.011727
2,7,고속터미널역,상대식,9484,3,1,0,0,0,1,783262,158096,11101,6857364,7798722,37.50481,127.004943
1,7,내방역,상대식,7871,3,1,2,2,NA,NA,642703,101015,9730,4440572,5184290,37.487618,126.993513
2,7,이수역,상대식,16088,4,1,1,1,NA,NA,770452,144407,11291,5263396,6178255,37.486263,126.981989
2,7,남성역,상대식,6731,3,1,1,1,NA,NA,698321,118549,9461,3472280,4289150,37.484596,126.971251
2,7,숭실대입구역,상대식,7263,6,1,1,1,NA,NA,578043,106960,7219,4909742,5594745,37.496029,126.953822
2,7,상도역,상대식,6630,3,1,1,1,NA,NA,600385,105476,7169,3477754,4183615,37.502834,126.94791
2,7,장승배기역,상대식,7240,3,1,1,1,NA,NA,773921,145519,9513,3162813,4082253,37.504898,126.93915
2,7,신대방삼거리역,상대식,6945,3,1,1,1,NA,NA,909419,176218,12190,4840852,5926489,37.499701,126.928276
1,7,보라매역,섬식,6682,2,1,1,1,NA,NA,395948,96808,8247,2900471,3393227,37.499872,126.920428
