Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,honor,exDis,total,x좌표,y좌표
2,5,서대문역,섬식,5977,4,1,1,1,NA,NA,654952,1.46351,28253,0.5420171,6221474,37.565773,126.966641
2,5,광화문역,섬식,8416,4,0,0,0,NA,NA,798950,2.23918,21639,1.2422471,13445339,37.571026,126.976669
2,5,종로3가역,섬식,6662,5,0,0,0,0,4,1248241,1.93748,25401,0.3841749,5283738,37.571607,126.991806
2,5,동대문역사문화공원역,섬식,6575,5,1,0,0,0,3,98957,0.21206,1166,0.0914525,1034688,37.565138,127.007896
2,5,신금호역,섬식,6238,4,2,1,2,NA,NA,357725,0.76966,4679,0.1751894,2186585,37.554548,127.020331
1,5,행당역,상대식,6751,8,1,2,2,NA,NA,478371,0.88204,5730,0.2513569,3080144,37.557322,127.029476
2,5,왕십리역,상대식,12838,5,1,2,2,0.5,0.5,231839,0.68259,4079,0.1601028,1901126,37.561533,127.037732
2,5,마장역,상대식,5147,5,1,0,0,NA,NA,435856,0.79002,7961,0.1779009,2293867,37.5661,127.042973
1,5,답십리역,상대식,5982,3,1,2,2,NA,NA,792688,1.94795,11996,0.5187003,6174486,37.566747,127.052704
1,5,장한평역,섬식,8453,3,1,2,2,NA,NA,919257,2.19876,13537,0.5665157,6804290,37.56144,127.064623
1,5,군자역,섬식,7352,3,2,2,4,1,0,337938,1.15782,6930,0.3607664,4061384,37.557121,127.079542
1,5,아차산역,상대식,4819,2,1,1,1,NA,NA,896865,2.00129,14558,0.4477491,5574485,37.551691,127.089761
1,5,광나루역,상대식,5765,3,1,2,2,NA,NA,656759,1.12405,11346,0.4498712,5267876,37.545303,127.10357
2,5,천호역,상대식,9920,3,1,1,1,1,0,1376407,2.78178,99725,0.5936761,7591346,37.538397,127.123572
2,5,강동역,복합식,15965,3,0.33,1,0.33,NA,NA,912393,2.12341,19018,0.5940224,7064958,37.535804,127.132481
2,5,길동역,상대식,3302,4,1,1,1,NA,NA,581781,1.18921,6057,0.2086167,2786869,37.537801,127.140004
2,5,굽은다리역,상대식,3012,3,1,1,1,NA,NA,610411,1.37441,9948,0.2858884,3606736,37.545477,127.142853
1,5,명일역,상대식,3284,2,1,1,1,NA,NA,619903,1.08779,6814,0.229971,3028392,37.55137,127.143999
1,5,고덕역,상대식,4002,2,1,2,2,NA,NA,625717,1.1927,6093,0.2762144,3507131,37.555004,127.154151
1,5,둔촌동역,상대식,3560,2,1,1,1,NA,NA,743350,1.32674,15393,0.3531485,4407509,37.527788,127.136248
1,5,올림픽공원역,상대식,5768,3,1,2,2,NA,NA,361971,0.51216,4864,0.1920256,2333443,37.516078,127.130848
1,5,방이역,상대식,3926,2,1,2,2,NA,NA,424378,0.75707,4769,0.2128678,2628763,37.508857,127.126133
1,5,개롱역,상대식,4560,2,1,1,1,NA,NA,419578,0.92605,4245,0.1980037,2492220,37.498079,127.13482
1,5,거여역,상대식,4738,2,1,1,1,NA,NA,476154,1.16349,5563,0.1902205,2494708,37.493105,127.14415
2,5,마천역,상대식,4127,4,0.5,0,0,NA,NA,449517,1.1354,6377,0.1348084,1911141,37.49499,127.152781
1,5,청구역,섬식,4014,4,1,2,2,1,0,264401,0.52004,3806,0.1180174,1496579,37.560245,127.013828
2,5,상일동역,복합식,5229,2,0,0,0,NA,NA,577309,1.42537,15853,0.3512707,4232553,37.556712,127.166417
1,5,오금역,상대식,5097,3,1,2,2,1,0,164073,0.38251,2374,0.1131439,1333763,37.502162,127.128111
2,5,을지로4가역,섬식,9382,5,1,1,1,0,2,423653,0.70324,7876,0.1308439,1802416,37.566941,126.998079
1,6,응암역,섬식,4799,2,1,1,1,NA,NA,1055821,2.49532,12912,0.5245269,6550622,37.598605,126.915577
2,6,역촌역,섬식,4592,4,1,1,1,NA,NA,346308,0.63676,3526,0.1007371,1417355,37.606021,126.922744
2,6,불광역,섬식,6712,4,2,1,2,0,1,404717,0.8584,4157,0.1598536,2089093,37.610469,126.929887
2,6,독바위역,섬식,4167,6,1,1,1,NA,NA,204684,0.39295,1389,0.0839868,1083847,37.618456,126.933031
2,6,연신내역,섬식,6001,5,1,1,1,1,0,0,0,0,0,0,37.619001,126.921008
2,6,구산역,상대식,3183,4,1,0,0,NA,NA,554267,1.08731,4191,0.2350913,3013911,37.611377,126.91727
1,6,새절역,복합식,4569,2,0.33,1,0.33,NA,NA,846748,1.71192,10572,0.4040456,5058396,37.591148,126.913629
1,6,증산역,상대식,3736,2,1,2,2,NA,NA,668986,1.52923,7250,0.3057086,3878995,37.583876,126.909645
1,6,디지털미디어시티역,상대식,6807,2,1,1,1,NA,NA,548767,1.35385,10183,0.4489544,5173696,37.576646,126.900984
1,6,월드컵경기장역,상대식,8910,2,1,1,1,NA,NA,605152,1.06527,7219,0.2073786,2785465,37.569532,126.899298
1,6,마포구청역,상대식,6302,3,1,2,2,NA,NA,737272,2.2092,10535,0.40791,5037292,37.563515,126.903343
1,6,망원역,상대식,3618,2,1,1,1,NA,NA,832802,1.64325,7938,0.3996433,4993560,37.556094,126.910052
2,6,합정역,상대식,8794,4,1,1,1,1,0,380586,0.93413,5802,0.4983008,5457007,37.549463,126.913739
2,6,상수역,섬식,4182,3,1,0,0,NA,NA,226810,0.48461,3950,0.3776913,4052184,37.547716,126.922852
2,6,광흥창역,섬식,5693,3,1,1,1,NA,NA,597453,0.92619,6125,0.2806101,3496173,37.547456,126.931993
2,6,대흥역,섬식,7001,2,1,0,0,NA,NA,436190,0.88985,6223,0.2547184,3072359,37.547771,126.942069
1,6,공덕역,상대식,6532,3,1,2,2,1,0,696311,1.52411,12198,0.5614969,6463691,37.544018,126.951592
2,6,효창공원앞역,섬식,4772,3,1,0,0,NA,NA,407342,0.84188,4879,0.2171607,2663137,37.539261,126.961351
2,6,삼각지역,섬식,12004,4,2,1,2,1,0,204962,0.41466,9134,0.2514564,2760992,37.534777,126.97311
2,6,녹사평역,섬식,8635,5,1,1,1,NA,NA,203900,0.42244,3165,0.2457157,2703301,37.534675,126.986695
2,6,이태원역,섬식,5865,5,1,1,1,NA,NA,344367,0.79776,7232,0.5948559,6372702,37.534488,126.994302
2,6,한강진역,상대식,7051,4,1,1,1,NA,NA,130249,0.3661,2318,0.2514935,2681794,37.539631,127.001725
2,6,버티고개역,상대식,3649,4,1,1,1,NA,NA,149737,0.2043,1342,0.0737632,907799,37.548013,127.007055
2,6,약수역,상대식,7184,2,1.5,0,0,0,1,233084,0.42813,2570,0.1065874,1341771,37.55434,127.010655
1,6,청구역,상대식,3377,4,1,2,2,1,0,181076,0.41026,1966,0.1167129,1389231,37.560245,127.013828
2,6,신당역,섬식,15211,3,1,1,1,0,2,373246,0.8858,4663,0.2651485,3113311,37.565972,127.01782
2,6,동묘앞역,섬식,11257,3,1,0,0,1,0,641726,1.40751,9739,0.2558357,3340834,37.572627,127.016429
2,6,창신역,섬식,5045,4,1,1,1,NA,NA,170955,0.34798,2866,0.1089922,1295675,37.579661,127.015241
2,6,보문역,섬식,4604,3,1,0,0,NA,NA,356616,0.77788,4450,0.2600875,3035279,37.585286,127.019381
2,6,안암역,상대식,6523,3,1,1,1,NA,NA,297548,0.77967,2883,0.4644791,5020306,37.586272,127.029005
1,6,고려대역,상대식,7444,4,1,2,2,NA,NA,335203,0.73991,4522,0.3122063,3531257,37.590508,127.036296
2,6,월곡역,상대식,4663,3,1,1,1,NA,NA,719189,1.50996,8183,0.3893252,4763437,37.601948,127.041518
2,6,상월곡역,상대식,7146,3,0,1,0,NA,NA,371382,0.82287,5970,0.183947,2293139,37.606377,127.048491
1,6,돌곶이역,상대식,4275,2,1,1,1,NA,NA,608986,1.29446,7307,0.272195,3460382,37.610537,127.056431
1,6,석계역,상대식,9763,3,1,2,2,NA,NA,718448,1.61228,10294,0.3980408,4860084,37.614805,127.065851
2,6,태릉입구역,상대식,7643,4,1,1,1,1,0,259846,0.63121,3983,0.163396,1956927,37.617983,127.07512
1,6,화랑대역,상대식,7497,2,1,1,1,NA,NA,430429,1.08259,8586,0.4278964,4817652,37.620064,127.084689
1,6,봉화산역,상대식,6837,2,0,2,0,NA,NA,495606,1.13204,11874,0.289048,3499290,37.617283,127.091401
1,7,장암역,상대식,504,1,1,1,1,NA,NA,76792,0.20732,2548,0.0823611,921135,37.700109,127.053196
1,7,도봉산역,상대식,4626,2,1,1,1,NA,NA,382224,0.97465,10393,0.2935873,3415562,37.689313,127.046222
2,7,수락산역,복합식,8135,3,0,1,0,NA,NA,858025,1.87829,17974,0.4178107,5223961,37.67785,127.055315
1,7,마들역,섬식,7495,3,1,3,3,NA,NA,724710,1.61185,13283,0.3572861,4458756,37.66494,127.057675
2,7,노원역,섬식,11370,3,1,1,1,0,0,1055986,2.75307,17351,0.6347657,7678950,37.655128,127.061368
1,7,중계역,섬식,7104,3,1,2,2,NA,NA,783785,2.90111,31179,0.4726461,5800357,37.644583,127.064303
1,7,하계역,섬식,7161,3,1,2,2,NA,NA,979121,2.7687,13845,0.6186786,7442777,37.636352,127.06799
2,7,공릉역,상대식,6386,4,1,1,1,NA,NA,621050,1.68346,9385,0.3964467,4753863,37.625742,127.072896
2,7,태릉입구역,상대식,12651,4,1,1,1,1,0,375146,1.02569,6902,0.2932686,3410401,37.617983,127.07512
2,7,먹골역,상대식,7295,3,1,1,1,NA,NA,556257,1.38813,8067,0.3236301,3931371,37.610637,127.077725
2,7,중화역,상대식,7020,3,1,1,1,NA,NA,547141,1.57785,10035,0.3434392,4139318,37.602545,127.079264
1,7,상봉역,상대식,7251,3,2,1,2,NA,NA,657419,1.85382,13960,0.5465465,6308266,37.596362,127.085032
2,7,면목역,상대식,6774,4,1,1,1,NA,NA,795325,2.08226,10115,0.4883072,5886623,37.588579,127.087503
2,7,사가정역,상대식,6172,4,1,1,1,NA,NA,883294,2.08875,10727,0.4724392,5816561,37.580894,127.088478
2,7,용마산역,상대식,6233,4,1,1,1,NA,NA,319487,0.98553,2838,0.1927899,2345939,37.573647,127.086727
2,7,중곡역,상대식,4292,3,1,1,1,NA,NA,537451,1.7787,7677,0.3039079,3754400,37.565923,127.08432
1,7,군자역,상대식,5677,3,1,2,2,1,0,728210,1.68668,9267,0.4412633,5309511,37.557121,127.079542
